iter	MultiClass
0	1.030396458
1	0.9814784583
2	0.9330085177
3	0.8921711
4	0.8581053914
5	0.8270955172
6	0.8020676656
7	0.785842159
8	0.7622498842
9	0.7412323567
10	0.720838096
11	0.7084038146
12	0.6965300066
13	0.6775997327
14	0.6633098563
15	0.6483515561
16	0.6399808962
17	0.6311467553
18	0.6182039758
19	0.6092372483
20	0.6015810648
21	0.5928839869
22	0.5859914134
23	0.5744714553
24	0.5649112359
25	0.5582660594
26	0.5525961528
27	0.546022675
28	0.5375640995
29	0.5285648563
30	0.5210844285
31	0.5172770333
32	0.5112479144
33	0.5079043639
34	0.5029607299
35	0.4965590281
36	0.4907525299
37	0.4852937379
38	0.4819719138
39	0.4762143387
40	0.4700988281
41	0.466207199
42	0.4632441972
43	0.4590024553
44	0.4541740775
45	0.4506571988
46	0.4466805481
47	0.4434412393
48	0.4401478367
49	0.4377583458
50	0.4353729246
51	0.43100694
52	0.4269343882
53	0.4231656004
54	0.4190432469
55	0.4161486494
56	0.4117806004
57	0.4084749795
58	0.4055973668
59	0.4029338531
60	0.3999344552
61	0.3960952471
62	0.3934186055
63	0.3896068593
64	0.3866325949
65	0.3844845243
66	0.38235257
67	0.3784388673
68	0.3745435185
69	0.3724600844
70	0.3700337184
71	0.3675860684
72	0.3657262206
73	0.3627311243
74	0.3593652166
75	0.3566715086
76	0.3545596302
77	0.3513604918
78	0.3488487952
79	0.3468339371
80	0.3452906245
81	0.3444742203
82	0.3430609443
83	0.3406405761
84	0.3385871212
85	0.3367634763
86	0.335543806
87	0.3337517078
88	0.3319910963
89	0.3305420168
90	0.3282876982
91	0.3262030628
92	0.3243827043
93	0.3226568969
94	0.3211033817
95	0.3193836729
96	0.3182254016
97	0.3165779438
98	0.3148105438
99	0.3139323038
