iter	Passed	Remaining
0	154	15306
1	157	7738
2	161	5223
3	164	3955
4	168	3192
5	171	2683
6	174	2319
7	177	2043
8	181	1834
9	184	1661
10	188	1521
11	191	1402
12	194	1304
13	198	1219
14	201	1143
15	205	1077
16	208	1017
17	211	965
18	215	917
19	218	873
20	221	833
21	224	797
22	228	763
23	231	731
24	234	702
25	237	675
26	240	649
27	243	626
28	247	605
29	250	583
30	253	564
31	256	545
32	260	528
33	263	510
34	266	494
35	269	478
36	272	464
37	275	450
38	279	436
39	282	423
40	285	410
41	288	398
42	291	386
43	294	374
44	297	363
45	300	352
46	303	342
47	306	332
48	310	322
49	312	312
50	315	303
51	319	294
52	322	285
53	325	277
54	328	268
55	331	260
56	334	252
57	338	244
58	341	237
59	344	229
60	347	221
61	350	214
62	353	207
63	356	200
64	359	193
65	362	186
66	365	180
67	369	173
68	372	167
69	375	160
70	378	154
71	381	148
72	385	142
73	388	136
74	391	130
75	394	124
76	397	118
77	400	113
78	403	107
79	406	101
80	410	96
81	413	90
82	416	85
83	419	79
84	422	74
85	425	69
86	429	64
87	432	58
88	435	53
89	438	48
90	442	43
91	445	38
92	448	33
93	451	28
94	455	23
95	458	19
96	461	14
97	465	9
98	468	4
99	471	0
